GeoFips,GeoName,2015,2016,2017,2018,2019,2020
51001,"Accomack, VA",18019,18612,19360,19890,19926,18794
51007,"Amelia, VA",4387,4411,4538,4599,4615,4534
51009,"Amherst, VA",12305,12148,11849,11668,11571,11157
51011,"Appomattox, VA",5146,5294,5369,5401,5308,5246
51013,"Arlington, VA",221671,227324,233632,237177,241448,233541
51017,"Bath, VA",3128,3092,3055,3029,2986,2538
51019,"Bedford, VA*",30512,30483,30585,31222,30939,30019
51021,"Bland, VA",2872,2821,2818,2864,2821,2683
51023,"Botetourt, VA",15044,15314,15316,15913,16612,15636
51025,"Brunswick, VA",5746,5786,5457,5377,5364,5055
51027,"Buchanan, VA",8588,8224,8352,8422,8084,7227
51029,"Buckingham, VA",4946,5150,5126,5174,5158,4955
51033,"Caroline, VA",8948,9191,9498,9638,9712,9296
51036,"Charles City, VA",2411,2580,2623,2624,2587,2515
51037,"Charlotte, VA",5039,5081,5009,4847,4766,4542
51041,"Chesterfield, VA",180781,185375,188769,193665,193488,187217
51043,"Clarke, VA",7127,6975,7089,7037,6973,6572
51045,"Craig, VA",1386,1417,1428,1425,1452,1426
51047,"Culpeper, VA",23717,23169,23634,23994,23843,23171
51049,"Cumberland, VA",2271,2554,2578,2476,2404,2316
51051,"Dickenson, VA",4676,4393,4350,4294,4475,4356
51057,"Essex, VA",5429,5483,5387,5306,5178,4983
51061,"Fauquier, VA",35233,36207,36419,37379,36841,35696
51063,"Floyd, VA",5931,6088,6167,6425,6400,6161
51065,"Fluvanna, VA",7880,7556,7617,7922,7873,7719
51067,"Franklin, VA",22416,22654,22931,23285,22879,22375
51071,"Giles, VA",6816,6735,6590,6690,6521,6515
51073,"Gloucester, VA",13871,14001,14075,14392,14212,13829
51075,"Goochland, VA",19582,20699,21602,22082,23430,24128
51077,"Grayson, VA",4851,5020,5168,5265,5514,5418
51079,"Greene, VA",6004,6289,6450,6458,6527,6343
51083,"Halifax, VA",16511,16393,16366,16104,16289,15318
51085,"Hanover, VA",67704,69455,70445,72748,73913,69850
51087,"Henrico, VA",244126,246887,252963,254114,256481,243903
51091,"Highland, VA",1313,1295,1256,1245,1204,1163
51093,"Isle of Wight, VA",15634,15812,15933,15767,15662,15253
51097,"King and Queen, VA",1883,1899,1981,1968,1906,1913
51099,"King George, VA",14463,15256,15410,15608,15892,16222
51101,"King William, VA",5757,6017,6160,6291,6305,6045
51103,"Lancaster, VA",6888,6888,6904,6906,6996,6699
51105,"Lee, VA",7315,7351,7132,7002,6871,6739
51107,"Loudoun, VA",220455,229519,237388,246582,254097,242426
51109,"Louisa, VA",13948,13967,14728,15034,14882,14714
51111,"Lunenburg, VA",3900,4018,4104,4102,4002,3838
51113,"Madison, VA",5520,5699,5760,5871,5826,5719
51115,"Mathews, VA",2954,2987,3003,3087,3046,2942
51117,"Mecklenburg, VA",15765,15617,15374,15494,15401,14797
51119,"Middlesex, VA",5366,5327,5478,5365,5314,5058
51125,"Nelson, VA",7054,6795,6655,6841,6689,6224
51127,"New Kent, VA",7363,7584,7728,8138,8583,8604
51131,"Northampton, VA",7026,6957,6534,6437,6370,6011
51133,"Northumberland, VA",4397,4534,4477,4530,4491,4396
51135,"Nottoway, VA",7790,7535,7422,7626,7586,7246
51137,"Orange, VA",14362,14743,14867,15050,15082,14347
51139,"Page, VA",8746,8841,8803,8932,8749,8335
51141,"Patrick, VA",7637,7499,7394,7219,6960,6492
51145,"Powhatan, VA",11215,11733,11782,12198,12434,12243
51147,"Prince Edward, VA",11851,11970,12121,12423,12356,11540
51155,"Pulaski, VA",17441,16972,16656,17559,18103,16504
51157,"Rappahannock, VA",3465,3752,3766,3606,3488,3381
51159,"Richmond, VA",4089,4130,4144,4219,4170,4093
51167,"Russell, VA",10196,10196,9966,9888,9875,9542
51169,"Scott, VA",7838,7657,7573,7823,7969,7487
51171,"Shenandoah, VA",20934,20710,20481,21136,20822,19940
51173,"Smyth, VA",15996,16441,15945,15829,15838,14956
51179,"Stafford, VA",59304,61061,62993,65743,67722,66398
51181,"Surry, VA",3354,3198,3276,3405,3057,2951
51183,"Sussex, VA",4929,4838,4711,4740,4783,4618
51185,"Tazewell, VA",20172,19396,19444,19378,18852,18033
51187,"Warren, VA",17331,17429,17820,18422,18286,17885
51193,"Westmoreland, VA",5925,6090,6103,6075,5906,5600
51197,"Wythe, VA",15731,15726,15559,15448,15203,14640
51510,"Alexandria (Independent City), VA",126918,127045,127192,126029,124505,116764
51550,"Chesapeake (Independent City), VA",127558,130010,133277,136139,137671,133971
51650,"Hampton (Independent City), VA",75674,76158,77128,77373,77430,73733
51700,"Newport News (Independent City), VA",123799,122232,124759,130190,132486,128392
51710,"Norfolk (Independent City), VA",211487,219880,215589,201340,193566,184989
51740,"Portsmouth (Independent City), VA",60430,60852,60618,60714,61320,59752
51760,"Richmond (Independent City), VA",186071,193558,197122,200153,204415,192020
51770,"Roanoke (Independent City), VA",81492,81833,81197,81560,81099,76851
51800,"Suffolk (Independent City), VA",39711,41291,42715,44258,45458,44708
51810,"Virginia Beach (Independent City), VA",255345,266272,272430,269425,269803,258073
51901,"Albemarle + Charlottesville, VA*",124844,128766,132145,134520,136653,128179
51903,"Alleghany + Covington, VA*",9961,9933,9829,9736,9760,9120
51907,"Augusta, Staunton + Waynesboro, VA*",64144,65224,65109,65922,66458,63909
51911,"Campbell + Lynchburg, VA*",87095,87201,88979,90667,90810,86266
51913,"Carroll + Galax, VA*",16561,17214,16911,16587,16386,15588
51918,"Dinwiddie, Colonial Heights + Petersburg, VA*",41879,41064,40908,41545,41676,39421
51919,"Fairfax, Fairfax City + Falls Church, VA*",877357,893525,905772,929138,935200,897885
51921,"Frederick + Winchester, VA*",71689,72849,74537,76227,76886,75920
51923,"Greensville + Emporia, VA*",9514,9430,9623,9527,9252,8836
51929,"Henry + Martinsville, VA*",31747,31856,31552,31682,31483,30121
51931,"James City + Williamsburg, VA*",56417,56826,57938,58991,58761,52296
51933,"Montgomery + Radford, VA*",63192,63956,64532,64692,64863,61943
51939,"Pittsylvania + Danville, VA*",51253,51625,51198,50890,49555,47486
51941,"Prince George + Hopewell, VA*",36512,35686,37106,36995,36808,35834
51942,"Prince William, Manassas + Manassas Park, VA*",228558,236044,241305,249351,254845,244311
51944,"Roanoke + Salem, VA*",76199,75898,75903,76226,76160,73363
51945,"Rockbridge, Buena Vista + Lexington, VA*",19007,19147,19424,19529,19605,18452
51947,"Rockingham + Harrisonburg, VA*",82108,84320,85321,86458,87230,82855
51949,"Southampton + Franklin, VA*",11379,11287,11105,11270,11172,10867
51951,"Spotsylvania + Fredericksburg, VA*",78689,80991,84148,85370,84803,80628
51953,"Washington + Bristol, VA*",40319,40485,39983,40056,39157,37132
51955,"Wise + Norton, VA*",19858,18875,18978,18838,19026,18065
51958,"York + Poquoson, VA*",33142,35008,35254,35601,35493,33041
