GeoFips,GeoName,2015,2016,2017,2018,2019,2020
51105,"Lee, VA",164332,168605,166602,163426,165982,175922
51107,"Loudoun, VA",10490168,10824956,11509501,12404077,13124476,13575570
51109,"Louisa, VA",496602,482192,513328,549728,539780,536278
51111,"Lunenburg, VA",96271,99399,101734,103407,106939,108078
51113,"Madison, VA",116476,123856,127151,123765,131390,140445
51115,"Mathews, VA",49242,50269,50677,54644,58232,59814
51117,"Mecklenburg, VA",420780,430353,440034,451096,459979,480730
51119,"Middlesex, VA",119973,125947,136367,138601,137687,136016
51125,"Nelson, VA",138552,147070,150932,159003,162657,158875
51127,"New Kent, VA",161661,171700,177344,188412,229166,254495
51131,"Northampton, VA",175232,173723,158654,147736,150551,153213
51133,"Northumberland, VA",100551,106092,110883,123338,143281,144692
51135,"Nottoway, VA",227635,225112,225651,233781,247163,248483
51137,"Orange, VA",360144,387711,398348,409005,434222,437305
51139,"Page, VA",191135,200339,206757,218155,222501,226262
51141,"Patrick, VA",159907,161362,165257,162689,159022,152551
51145,"Powhatan, VA",298729,314605,312337,323615,354753,374138
51147,"Prince Edward, VA",330698,346954,363508,378908,393567,392183
51155,"Pulaski, VA",573508,531915,549128,616297,658839,596424
51157,"Rappahannock, VA",87183,89368,94407,63242,66177,66441
51159,"Richmond, VA",114796,119808,121193,133787,129661,134524
51167,"Russell, VA",308625,310062,316081,318106,326062,321949
51169,"Scott, VA",170855,166470,173670,183339,196682,195746
51171,"Shenandoah, VA",531913,546945,561845,602813,620646,629616
51173,"Smyth, VA",462473,479930,472126,480474,498719,495360
51179,"Stafford, VA",2266336,2336436,2463630,2627556,2813941,3004285
51181,"Surry, VA",211614,181276,192866,217128,189233,185138
51183,"Sussex, VA",151420,149970,151232,152426,161554,169016
51185,"Tazewell, VA",561281,534602,579328,610119,590698,566552
51187,"Warren, VA",503137,507713,530071,570674,590826,612347
51193,"Westmoreland, VA",114362,120792,123142,128220,128988,133011
51197,"Wythe, VA",417338,427594,439061,444249,453430,465156
51510,"Alexandria (Independent City), VA",7602206,7659519,7787202,7938275,7890421,7755980
51550,"Chesapeake (Independent City), VA",4484024,4580104,4821812,5058507,5296220,5522080
51650,"Hampton (Independent City), VA",3120696,3173901,3349915,3333866,3461553,3475299
51700,"Newport News (Independent City), VA",5831304,5665535,5920106,6202519,6578294,6715010
51710,"Norfolk (Independent City), VA",10718110,11033301,10952194,10456863,10301216,10476076
51740,"Portsmouth (Independent City), VA",2855046,2873362,2954161,2967541,3170261,3180243
51760,"Richmond (Independent City), VA",9508857,9761936,10183865,10573626,11222461,11484542
51770,"Roanoke (Independent City), VA",3377922,3458378,3443142,3545865,3630651,3674127
51800,"Suffolk (Independent City), VA",1496496,1539301,1605305,1675304,1820896,1968795
51810,"Virginia Beach (Independent City), VA",8971736,9463534,9869301,9862638,10330581,10625984
51901,"Albemarle + Charlottesville, VA*",5195216,5342370,5699168,5974743,6142794,6220696
51903,"Alleghany + Covington, VA*",366531,367242,369487,384042,389176,372477
51907,"Augusta, Staunton + Waynesboro, VA*",1997426,2067224,2133825,2238772,2315640,2361971
51911,"Campbell + Lynchburg, VA*",3218745,3260021,3431394,3574783,3669581,3704856
51913,"Carroll + Galax, VA*",411749,424500,431969,436454,436032,432581
51918,"Dinwiddie, Colonial Heights + Petersburg, VA*",1273344,1320129,1352785,1413355,1450181,1470542
51919,"Fairfax, Fairfax City + Falls Church, VA*",56301830,57971083,60721606,63899759,67533398,69722901
51921,"Frederick + Winchester, VA*",2586069,2676258,2832016,2962766,3141800,3345016
51923,"Greensville + Emporia, VA*",288405,299077,320244,322664,326670,336630
51929,"Henry + Martinsville, VA*",884095,907185,912976,947536,960731,977799
51931,"James City + Williamsburg, VA*",1722263,1811887,1892353,1967524,2032340,1963486
51933,"Montgomery + Radford, VA*",2167041,2248360,2323963,2439999,2510334,2566809
51939,"Pittsylvania + Danville, VA*",1467685,1506442,1533241,1603905,1599389,1601681
51941,"Prince George + Hopewell, VA*",1837068,1733653,1784484,1835780,1843702,1882298
51942,"Prince William, Manassas + Manassas Park, VA*",8315290,8561060,8837491,9351937,9954216,10329822
51944,"Roanoke + Salem, VA*",2999546,2816333,2841870,2921009,3016905,3085973
51945,"Rockbridge, Buena Vista + Lexington, VA*",515481,523949,541808,552579,582700,580642
51947,"Rockingham + Harrisonburg, VA*",2617349,2708528,2804908,2935021,3097400,3210796
51949,"Southampton + Franklin, VA*",295363,300476,300770,308956,314773,325799
51951,"Spotsylvania + Fredericksburg, VA*",2558238,2603365,2761390,2915980,3025666,3128293
51953,"Washington + Bristol, VA*",1216926,1202233,1190266,1211340,1208182,1198603
51955,"Wise + Norton, VA*",624829,584393,593461,603489,621280,619861
51958,"York + Poquoson, VA*",1041187,1072495,1093775,1130029,1194340,1141228
