GeoFips,GeoName,2015,2016,2017,2018,2019,2020
51001,"Accomack, VA",512747,589271,690266,744976,796174,813293
51007,"Amelia, VA",97330,97840,101434,103368,109218,115203
51009,"Amherst, VA",348802,343542,337952,346703,347601,352683
51011,"Appomattox, VA",106392,110933,115191,120460,123221,130495
51013,"Arlington, VA",16449907,17004501,17989545,19074364,20311691,21175460
51017,"Bath, VA",95837,101012,101928,97737,103480,94605
51019,"Bedford, VA*",778493,788642,798289,829742,851260,854925
51021,"Bland, VA",87170,88293,91788,97803,99947,99033
51023,"Botetourt, VA",438505,446161,466690,511283,553109,544294
51025,"Brunswick, VA",152104,157802,154477,144174,152410,147572
51027,"Buchanan, VA",334831,294581,316894,336345,359940,309620
51029,"Buckingham, VA",135863,140146,140287,142394,149423,148889
51033,"Caroline, VA",238402,247200,257395,264824,273299,281460
51036,"Charles City, VA",76513,79338,85445,89614,88512,91922
51037,"Charlotte, VA",106763,115487,113218,112786,114735,114095
51041,"Chesterfield, VA",6516811,6717811,7024776,7382092,7524120,7758859
51043,"Clarke, VA",182498,185160,197947,197898,201239,191625
51045,"Craig, VA",27028,28097,28833,29224,30527,31664
51047,"Culpeper, VA",687576,707585,732218,761680,797236,814860
51049,"Cumberland, VA",45671,50689,54316,51185,50226,51393
51051,"Dickenson, VA",155023,138547,142812,146412,157084,158696
51057,"Essex, VA",134976,140240,140568,140182,143858,150837
51061,"Fauquier, VA",1113534,1162970,1189812,1255763,1286730,1342613
51063,"Floyd, VA",100865,105432,111526,118947,125417,129736
51065,"Fluvanna, VA",192137,182164,184824,196844,207605,215775
51067,"Franklin, VA",527089,541117,563331,588286,604378,634372
51071,"Giles, VA",204615,202150,198628,211437,211728,228697
51073,"Gloucester, VA",331976,344625,356930,373747,391341,406427
51075,"Goochland, VA",1400066,1444764,1684768,1714978,1910813,2099092
51077,"Grayson, VA",87467,91687,96900,100340,109837,111095
51079,"Greene, VA",136575,144024,147032,149197,157593,158531
51083,"Halifax, VA",467331,477326,489824,495177,520644,510915
51085,"Hanover, VA",2278539,2367053,2487955,2578925,2727281,2759943
51087,"Henrico, VA",10826499,11015923,11572488,11796360,12283593,12490226
51091,"Highland, VA",17360,18149,18282,18091,18207,18282
51093,"Isle of Wight, VA",519755,529179,547747,563942,537416,610733
51097,"King and Queen, VA",45272,45957,48012,49056,48852,52885
51099,"King George, VA",873759,935555,975183,1008500,1065212,1135523
51101,"King William, VA",175873,183249,190380,199095,204736,206566
51103,"Lancaster, VA",173250,179104,186019,188919,194708,198094
