GeoFips,GeoName,2015,2016,2017,2018,2019,2020
51911,"Campbell + Lynchburg, VA*",735370,741762,763652,791854,793152,814332
51913,"Carroll + Galax, VA*",114157,115893,116358,116183,112619,114079
51918,"Dinwiddie, Colonial Heights + Petersburg, VA*",326843,335970,335141,346553,343988,349041
51919,"Fairfax, Fairfax City + Falls Church, VA*",10477558,10661434,11180660,11700198,12133279,12261171
51921,"Frederick + Winchester, VA*",621825,641458,672120,702142,720571,769742
51923,"Greensville + Emporia, VA*",81297,84225,86258,87258,85571,89713
51929,"Henry + Martinsville, VA*",232199,235727,236267,244338,242097,249688
51931,"James City + Williamsburg, VA*",423837,443728,457591,473577,473482,467071
51933,"Montgomery + Radford, VA*",659473,682642,693314,720709,723101,741946
51939,"Pittsylvania + Danville, VA*",378743,386056,386860,395564,386794,399819
51941,"Prince George + Hopewell, VA*",643822,593919,603441,626959,630014,650505
51942,"Prince William, Manassas + Manassas Park, VA*",2067067,2072397,2114848,2222116,2347703,2427538
51944,"Roanoke + Salem, VA*",708159,694412,694958,712993,708435,724587
51945,"Rockbridge, Buena Vista + Lexington, VA*",140241,143507,143326,146472,151474,153610
51947,"Rockingham + Harrisonburg, VA*",660945,684917,692734,721685,740856,765133
51949,"Southampton + Franklin, VA*",87628,88925,86956,88261,87909,91736
51951,"Spotsylvania + Fredericksburg, VA*",588366,604634,632178,662864,667099,682509
51953,"Washington + Bristol, VA*",321575,319942,314222,320401,309793,312380
51955,"Wise + Norton, VA*",180627,171917,171588,174164,174978,178456
51958,"York + Poquoson, VA*",276974,282270,285405,293509,310762,307401
