GeoFips,GeoName,2015,2016,2017,2018,2019,2020
51001,"Accomack, VA",93554,82329,88351,79554,77315,80280
51007,"Amelia, VA",65170,41285,41763,34276,34205,32376
51009,"Amherst, VA",36738,32380,35269,33382,33470,33609
51011,"Appomattox, VA",23056,18816,19795,16406,17255,18706
51013,"Arlington, VA",1219198,1287387,1193632,1213255,1412876,1434360
51017,"Bath, VA",11154,7426,8546,7127,7349,9116
51019,"Bedford, VA*",171461,140957,139266,136120,140204,146228
51021,"Bland, VA",12914,8488,9478,8333,8608,10297
51023,"Botetourt, VA",63188,57592,61199,54950,52925,58363
51025,"Brunswick, VA",12890,9621,10207,6271,5472,8546
51027,"Buchanan, VA",26183,19932,30540,30408,47532,44226
51029,"Buckingham, VA",22136,18230,20614,20097,21192,21926
51033,"Caroline, VA",26937,26042,33714,29183,34157,40449
51036,"Charles City, VA",16742,12040,11057,10063,12925,13916
51037,"Charlotte, VA",24031,19557,21971,17531,16170,18253
51041,"Chesterfield, VA",749791,726492,814938,812616,877618,883115
51043,"Clarke, VA",51673,45954,51287,49870,57242,54867
51045,"Craig, VA",6904,4750,5833,5737,5920,6550
51047,"Culpeper, VA",147636,147126,157091,162365,181511,192736
51049,"Cumberland, VA",23682,18908,22883,21505,21184,19571
51051,"Dickenson, VA",15133,11457,10194,9303,9214,9558
51057,"Essex, VA",13759,11417,16465,12532,14255,19790
51061,"Fauquier, VA",288444,279965,317184,324882,348155,357810
51063,"Floyd, VA",32220,25855,27461,28484,29174,32400
51065,"Fluvanna, VA",40002,39774,52981,54414,58537,54593
51067,"Franklin, VA",119953,108892,119667,109899,122449,132829
51071,"Giles, VA",25336,21578,23960,22876,22542,23050
51073,"Gloucester, VA",58249,56599,62427,61530,63592,64537
51075,"Goochland, VA",71225,74157,95931,104404,189894,181200
51077,"Grayson, VA",18083,8841,11815,6644,7213,12883
51079,"Greene, VA",53191,61024,65439,66511,61670,58791
51083,"Halifax, VA",47460,42323,48387,44135,46197,48552
51085,"Hanover, VA",444551,415275,400531,428070,457319,453942
51087,"Henrico, VA",3371137,3551070,3764981,3869726,4096118,3819709
51091,"Highland, VA",9527,6095,8098,6510,7679,7906
51093,"Isle of Wight, VA",66272,54578,63024,51412,55364,59054
51097,"King and Queen, VA",12069,11447,13126,12312,12631,15461
51099,"King George, VA",168713,71056,69746,61841,81958,64325
51101,"King William, VA",34024,28769,30592,24783,28023,29545
51103,"Lancaster, VA",30911,34736,36915,36352,39538,41894
51105,"Lee, VA",21176,19769,21697,20444,18222,20790
51107,"Loudoun, VA",1293651,1430623,1412851,1554830,1586396,1640129
51109,"Louisa, VA",61105,65904,75669,79071,81533,83016
51111,"Lunenburg, VA",10627,8726,10140,7437,6628,9859
51113,"Madison, VA",101517,82493,53769,32165,37652,46974
51115,"Mathews, VA",28022,28063,28965,29533,30947,29662
51117,"Mecklenburg, VA",33542,29684,35035,34265,34931,42505
51119,"Middlesex, VA",36907,33392,37185,31481,30758,31613
51125,"Nelson, VA",53523,48583,47449,44663,55239,55864
51127,"New Kent, VA",48656,54621,56303,57806,59406,51167
51131,"Northampton, VA",48882,49305,58412,59158,63142,87177
51133,"Northumberland, VA",23733,23637,29189,27357,28514,29977
51135,"Nottoway, VA",18660,12555,15141,11947,14002,13241
51137,"Orange, VA",85007,86577,100063,97861,98073,113901
51139,"Page, VA",74693,61341,66638,59502,54570,48443
51141,"Patrick, VA",34239,27683,28254,26732,27940,31261
51145,"Powhatan, VA",67120,68550,78612,75835,82941,86781
51147,"Prince Edward, VA",43778,39165,37855,29697,28052,30256
51155,"Pulaski, VA",53581,48435,52103,48855,41562,44595
51157,"Rappahannock, VA",40882,35034,38901,41535,48845,48785
51159,"Richmond, VA",10990,9716,11800,10023,11604,15086
51167,"Russell, VA",24216,22965,21231,17292,18591,32091
51169,"Scott, VA",19785,16818,20979,21006,22372,25847
51171,"Shenandoah, VA",126471,115613,118996,117894,125917,129402
51173,"Smyth, VA",69872,50492,43283,29808,28295,35636
51179,"Stafford, VA",229802,225680,235558,245317,240997,266120
51181,"Surry, VA",4419,1962,3966,2415,6821,8078
51183,"Sussex, VA",9193,5665,8655,6280,11832,13329
51185,"Tazewell, VA",75769,50030,74606,70553,56762,58220
51187,"Warren, VA",73598,68226,74359,76926,78064,84570
51193,"Westmoreland, VA",29032,34641,39951,40760,43838,50805
51197,"Wythe, VA",52482,40697,48930,44014,39163,45484
51510,"Alexandria (Independent City), VA",907067,912487,829092,846872,794110,875526
51550,"Chesapeake (Independent City), VA",320733,323355,338668,349124,368890,453791
51650,"Hampton (Independent City), VA",133887,120158,117003,118573,104901,130321
51700,"Newport News (Independent City), VA",335806,285826,251913,256042,240590,287450
51710,"Norfolk (Independent City), VA",274794,266906,200147,110736,125227,143286
51740,"Portsmouth (Independent City), VA",78615,56964,76832,100455,153513,171626
51760,"Richmond (Independent City), VA",1218875,1259089,1225326,941696,1162921,1183505
51770,"Roanoke (Independent City), VA",275472,277382,265384,271169,208394,252310
51800,"Suffolk (Independent City), VA",159407,162146,171204,146141,143764,159579
51810,"Virginia Beach (Independent City), VA",1450982,1355433,1390356,1366097,1372186,1448388
51901,"Albemarle + Charlottesville, VA*",715767,818072,895304,897779,850751,825106
51903,"Alleghany + Covington, VA*",25852,17958,17470,18650,17669,24869
51907,"Augusta, Staunton + Waynesboro, VA*",356651,297957,329797,336897,337739,332794
51911,"Campbell + Lynchburg, VA*",193116,164272,174366,183668,207385,243407
51913,"Carroll + Galax, VA*",69191,60434,59760,54114,53090,63007
51918,"Dinwiddie, Colonial Heights + Petersburg, VA*",89887,75312,67604,57706,62028,80171
51919,"Fairfax, Fairfax City + Falls Church, VA*",6519308,5713857,4965026,5492072,6400264,6847582
51921,"Frederick + Winchester, VA*",354715,368732,399144,413285,437398,433215
51923,"Greensville + Emporia, VA*",4041,3837,6711,4713,9610,10685
51929,"Henry + Martinsville, VA*",115475,106668,110897,107416,107241,110076
51931,"James City + Williamsburg, VA*",278438,264092,243179,212396,231018,232420
51933,"Montgomery + Radford, VA*",189110,199405,214080,221989,206544,198123
51939,"Pittsylvania + Danville, VA*",132426,115998,121657,113787,123825,138739
51941,"Prince George + Hopewell, VA*",34544,42996,44619,40863,91499,77773
51942,"Prince William, Manassas + Manassas Park, VA*",1394089,1421501,1540485,1570089,1519611,1660869
51944,"Roanoke + Salem, VA*",414620,393623,403203,384405,361834,351741
51945,"Rockbridge, Buena Vista + Lexington, VA*",88829,80894,86287,81077,80609,78861
51947,"Rockingham + Harrisonburg, VA*",594323,497575,574415,570503,547324,533193
51949,"Southampton + Franklin, VA*",21326,15353,33741,25992,43284,33139
51951,"Spotsylvania + Fredericksburg, VA*",377398,375254,388535,394839,428859,485384
51953,"Washington + Bristol, VA*",122364,26873,144417,148250,152990,161728
51955,"Wise + Norton, VA*",39491,33108,36815,41589,43386,42802
51958,"York + Poquoson, VA*",143205,131672,142985,141934,145659,146793
